AWAY,HOME,HOME_TEAM_RESULT,W%,B_index,LV2,wOBA,W%,B_index,LV2,wOBA
Indians,Brewers,W,0.583850932,46.4,30.09,0.326,0.450617284,49.9,25.31,0.315
Rockies,Reds,L,0.462962963,48.8,26.66,0.339,0.419753086,46.7,26.46,0.311
Dodgers,Giants,L,0.561728395,46.3,32.05,0.314,0.537037037,43.5,28.27,0.315
Padres,WhiteSox,W,0.419753086,48.5,26.19,0.297,0.481481481,46.7,27.06,0.314
Mariners,Rangers,L,0.530864198,46.6,28.27,0.325,0.586419753,46.2,25.24,0.324
Royals,Angels,L,0.5,46.3,27.5,0.307,0.456790123,42.4,25.16,0.314
Athletics,Padres,L,0.425925926,43.6,26.37,0.302,0.419753086,48.5,26.19,0.297
Astros,Yankees,L,0.518518519,48.1,29.74,0.317,0.518518519,44.8,30.4,0.311
Marlins,Nationals,W,0.49068323,46.1,28.77,0.309,0.586419753,45.8,31.17,0.322
Twins,Orioles,L,0.364197531,47.9,26.48,0.317,0.549382716,47.3,26.91,0.326
Mets,Cardinals,W,0.537037037,45.9,29.76,0.315,0.530864198,46.7,27.7,0.329
Phillies,Pirates,L,0.438271605,47,28.53,0.296,0.481481481,47,26.13,0.318
Rays,RedSox,L,0.419753086,48.8,29.26,0.315,0.574074074,46.6,29.18,0.346
Braves,BlueJays,W,0.422360248,45.5,26.35,0.304,0.549382716,46.7,28.14,0.327
Tigers,Mets,W,0.534161491,48,27.31,0.33,0.537037037,45.9,29.76,0.315
Indians,Dodgers,L,0.583850932,46.4,30.09,0.326,0.561728395,46.3,32.05,0.314
Royals,Cubs,L,0.5,46.3,27.5,0.307,0.635802469,46.7,30.36,0.333
Royals,Athletics,W,0.5,46.3,27.5,0.307,0.425925926,43.6,26.37,0.302
Angels,Reds,W,0.456790123,42.4,25.16,0.314,0.419753086,46.7,26.46,0.311
Padres,Brewers,L,0.419753086,48.5,26.19,0.297,0.450617284,49.9,25.31,0.315
Giants,Rangers,W,0.537037037,43.5,28.27,0.315,0.586419753,46.2,25.24,0.324
Cubs,Rockies,W,0.635802469,46.7,30.36,0.333,0.462962963,48.8,26.66,0.339
WhiteSox,Angels,L,0.481481481,46.7,27.06,0.314,0.456790123,42.4,25.16,0.314
RedSox,Orioles,L,0.574074074,46.6,29.18,0.346,0.549382716,47.3,26.91,0.326
Mets,Braves,W,0.537037037,45.9,29.76,0.315,0.422360248,45.5,26.35,0.304
Yankees,Marlins,W,0.518518519,44.8,30.4,0.311,0.49068323,46.1,28.77,0.309
Pirates,Phillies,W,0.481481481,47,26.13,0.318,0.438271605,47,28.53,0.296
Cardinals,Twins,L,0.530864198,46.7,27.7,0.329,0.364197531,47.9,26.48,0.317
Rays,Tigers,W,0.419753086,48.8,29.26,0.315,0.534161491,48,27.31,0.33
Nationals,Astros,L,0.586419753,45.8,31.17,0.322,0.518518519,48.1,29.74,0.317
Twins,BlueJays,W,0.364197531,47.9,26.48,0.317,0.549382716,46.7,28.14,0.327
Rockies,Royals,W,0.462962963,48.8,26.66,0.339,0.5,46.3,27.5,0.307
Dodgers,Cubs,L,0.561728395,46.3,32.05,0.314,0.635802469,46.7,30.36,0.333
Brewers,WhiteSox,W,0.450617284,49.9,25.31,0.315,0.481481481,46.7,27.06,0.314
Mariners,Indians,W,0.530864198,46.6,28.27,0.325,0.583850932,46.4,30.09,0.326
Rangers,Athletics,L,0.586419753,46.2,25.24,0.324,0.425925926,43.6,26.37,0.302
Reds,Giants,W,0.419753086,46.7,26.46,0.311,0.537037037,43.5,28.27,0.315
Braves,Astros,W,0.422360248,45.5,26.35,0.304,0.518518519,48.1,29.74,0.317
Orioles,Phillies,W,0.549382716,47.3,26.91,0.326,0.438271605,47,28.53,0.296
RedSox,Pirates,L,0.574074074,46.6,29.18,0.346,0.481481481,47,26.13,0.318
Marlins,Cardinals,L,0.49068323,46.1,28.77,0.309,0.530864198,46.7,27.7,0.329
Phillies,Twins,L,0.438271605,47,28.53,0.296,0.364197531,47.9,26.48,0.317
BlueJays,Rays,L,0.549382716,46.7,28.14,0.327,0.419753086,48.8,29.26,0.315
Nationals,Tigers,W,0.586419753,45.8,31.17,0.322,0.534161491,48,27.31,0.33
Yankees,Mets,D,0.518518519,44.8,30.4,0.311,0.537037037,45.9,29.76,0.315
Indians,Cubs,L,0.583850932,46.4,30.09,0.326,0.635802469,46.7,30.36,0.333
Rockies,Giants,L,0.462962963,48.8,26.66,0.339,0.537037037,43.5,28.27,0.315
Brewers,Royals,W,0.450617284,49.9,25.31,0.315,0.5,46.3,27.5,0.307
Athletics,WhiteSox,L,0.425925926,43.6,26.37,0.302,0.481481481,46.7,27.06,0.314
Rangers,Reds,L,0.586419753,46.2,25.24,0.324,0.419753086,46.7,26.46,0.311
Royals,Mariners,W,0.5,46.3,27.5,0.307,0.530864198,46.6,28.27,0.325
Dodgers,Angels,D,0.561728395,46.3,32.05,0.314,0.456790123,42.4,25.16,0.314
Braves,Marlins,L,0.422360248,45.5,26.35,0.304,0.49068323,46.1,28.77,0.309
Tigers,Phillies,D,0.534161491,48,27.31,0.33,0.438271605,47,28.53,0.296
Twins,RedSox,L,0.364197531,47.9,26.48,0.317,0.574074074,46.6,29.18,0.346
Yankees,Orioles,D,0.518518519,44.8,30.4,0.311,0.549382716,47.3,26.91,0.326
Pirates,Rays,W,0.481481481,47,26.13,0.318,0.419753086,48.8,29.26,0.315
BlueJays,Yankees,L,0.549382716,46.7,28.14,0.327,0.518518519,44.8,30.4,0.311
Cardinals,Mets,W,0.530864198,46.7,27.7,0.329,0.537037037,45.9,29.76,0.315
WhiteSox,Rangers,L,0.481481481,46.7,27.06,0.314,0.586419753,46.2,25.24,0.324
Royals,WhiteSox,L,0.5,46.3,27.5,0.307,0.481481481,46.7,27.06,0.314
