AWAY,HOME,HOME_TEAM_RESULT,W%,B_index,LV2,wOBA,W%,B_index,LV2,wOBA
Orioles,Rays,W,0.549382716,47.3,26.91,0.326,0.419753086,48.8,29.26,0.315
RedSox,Braves,L,0.574074074,46.6,29.18,0.346,0.422360248,45.5,26.35,0.304
Reds,Mets,W,0.419753086,46.7,26.46,0.311,0.537037037,45.9,29.76,0.315
Athletics,Tigers,L,0.425925926,43.6,26.37,0.302,0.534161491,48,27.31,0.33
Brewers,Cubs,W,0.450617284,49.9,25.31,0.315,0.635802469,46.7,30.36,0.333
Yankees,Rangers,W,0.518518519,44.8,30.4,0.311,0.586419753,46.2,25.24,0.324
Indians,Twins,W,0.583850932,46.4,30.09,0.326,0.364197531,47.9,26.48,0.317
Pirates,Rockies,L,0.481481481,47,26.13,0.318,0.462962963,48.8,26.66,0.339
Royals,Angels,W,0.5,46.3,27.5,0.307,0.456790123,42.4,25.16,0.314
Astros,Mariners,W,0.518518519,48.1,29.74,0.317,0.530864198,46.6,28.27,0.325
Marlins,Dodgers,L,0.49068323,46.1,28.77,0.309,0.561728395,46.3,32.05,0.314
Padres,Giants,W,0.419753086,48.5,26.19,0.297,0.537037037,43.5,28.27,0.315
Padres,Giants,W,0.419753086,48.5,26.19,0.297,0.537037037,43.5,28.27,0.315
Phillies,Nationals,L,0.438271605,47,28.53,0.296,0.586419753,45.8,31.17,0.322
WhiteSox,BlueJays,L,0.481481481,46.7,27.06,0.314,0.549382716,46.7,28.14,0.327
Braves,RedSox,W,0.422360248,45.5,26.35,0.304,0.574074074,46.6,29.18,0.346
Orioles,Rays,L,0.549382716,47.3,26.91,0.326,0.419753086,48.8,29.26,0.315
Reds,Mets,W,0.419753086,46.7,26.46,0.311,0.537037037,45.9,29.76,0.315
Athletics,Tigers,W,0.425925926,43.6,26.37,0.302,0.534161491,48,27.31,0.33
Yankees,Rangers,W,0.518518519,44.8,30.4,0.311,0.586419753,46.2,25.24,0.324
Indians,Twins,L,0.583850932,46.4,30.09,0.326,0.364197531,47.9,26.48,0.317
Pirates,Rockies,L,0.481481481,47,26.13,0.318,0.462962963,48.8,26.66,0.339
Royals,Angels,W,0.5,46.3,27.5,0.307,0.456790123,42.4,25.16,0.314
Astros,Mariners,L,0.518518519,48.1,29.74,0.317,0.530864198,46.6,28.27,0.325
Marlins,Dodgers,L,0.49068323,46.1,28.77,0.309,0.561728395,46.3,32.05,0.314
Athletics,Tigers,W,0.425925926,43.6,26.37,0.302,0.534161491,48,27.31,0.33
Brewers,Cubs,W,0.450617284,49.9,25.31,0.315,0.635802469,46.7,30.36,0.333
Phillies,Nationals,L,0.438271605,47,28.53,0.296,0.586419753,45.8,31.17,0.322
WhiteSox,Orioles,W,0.481481481,46.7,27.06,0.314,0.549382716,47.3,26.91,0.326
Braves,RedSox,L,0.422360248,45.5,26.35,0.304,0.574074074,46.6,29.18,0.346
Marlins,Dodgers,L,0.49068323,46.1,28.77,0.309,0.561728395,46.3,32.05,0.314
Braves,Cubs,W,0.422360248,45.5,26.35,0.304,0.635802469,46.7,30.36,0.333
WhiteSox,Orioles,W,0.481481481,46.7,27.06,0.314,0.549382716,47.3,26.91,0.326
Reds,Pirates,W,0.419753086,46.7,26.46,0.311,0.481481481,47,26.13,0.318
Indians,Phillies,W,0.583850932,46.4,30.09,0.326,0.438271605,47,28.53,0.296
Yankees,RedSox,W,0.518518519,44.8,30.4,0.311,0.574074074,46.6,29.18,0.346
Giants,Mets,W,0.537037037,43.5,28.27,0.315,0.537037037,45.9,29.76,0.315
BlueJays,Rays,L,0.549382716,46.7,28.14,0.327,0.419753086,48.8,29.26,0.315
Angels,Rangers,W,0.456790123,42.4,25.16,0.314,0.586419753,46.2,25.24,0.324
Tigers,Twins,L,0.534161491,48,27.31,0.33,0.364197531,47.9,26.48,0.317
Marlins,Brewers,L,0.49068323,46.1,28.77,0.309,0.450617284,49.9,25.31,0.315
Nationals,Cardinals,L,0.586419753,45.8,31.17,0.322,0.530864198,46.7,27.7,0.329
Astros,Athletics,W,0.518518519,48.1,29.74,0.317,0.425925926,43.6,26.37,0.302
Royals,Mariners,W,0.5,46.3,27.5,0.307,0.530864198,46.6,28.27,0.325
Padres,Dodgers,L,0.419753086,48.5,26.19,0.297,0.561728395,46.3,32.05,0.314
Tigers,Twins,L,0.534161491,48,27.31,0.33,0.364197531,47.9,26.48,0.317
Nationals,Cardinals,L,0.586419753,45.8,31.17,0.322,0.530864198,46.7,27.7,0.329
Astros,Athletics,W,0.518518519,48.1,29.74,0.317,0.425925926,43.6,26.37,0.302
Giants,Mets,W,0.537037037,43.5,28.27,0.315,0.537037037,45.9,29.76,0.315
BlueJays,Rays,W,0.549382716,46.7,28.14,0.327,0.419753086,48.8,29.26,0.315
WhiteSox,Orioles,L,0.481481481,46.7,27.06,0.314,0.549382716,47.3,26.91,0.326
Reds,Pirates,W,0.419753086,46.7,26.46,0.311,0.481481481,47,26.13,0.318
Indians,Phillies,W,0.583850932,46.4,30.09,0.326,0.438271605,47,28.53,0.296
Marlins,Brewers,L,0.49068323,46.1,28.77,0.309,0.450617284,49.9,25.31,0.315
Yankees,RedSox,W,0.518518519,44.8,30.4,0.311,0.574074074,46.6,29.18,0.346
Angels,Rangers,W,0.456790123,42.4,25.16,0.314,0.586419753,46.2,25.24,0.324
Padres,Dodgers,L,0.419753086,48.5,26.19,0.297,0.561728395,46.3,32.05,0.314
Royals,Mariners,W,0.5,46.3,27.5,0.307,0.530864198,46.6,28.27,0.325
Giants,Mets,L,0.537037037,43.5,28.27,0.315,0.537037037,45.9,29.76,0.315
BlueJays,Rays,L,0.549382716,46.7,28.14,0.327,0.419753086,48.8,29.26,0.315
WhiteSox,Orioles,L,0.481481481,46.7,27.06,0.314,0.549382716,47.3,26.91,0.326
Reds,Pirates,L,0.419753086,46.7,26.46,0.311,0.481481481,47,26.13,0.318
Tigers,Twins,L,0.534161491,48,27.31,0.33,0.364197531,47.9,26.48,0.317
Marlins,Brewers,W,0.49068323,46.1,28.77,0.309,0.450617284,49.9,25.31,0.315
Nationals,Cardinals,L,0.586419753,45.8,31.17,0.322,0.530864198,46.7,27.7,0.329
Braves,Cubs,L,0.422360248,45.5,26.35,0.304,0.635802469,46.7,30.36,0.333
Indians,Phillies,W,0.583850932,46.4,30.09,0.326,0.438271605,47,28.53,0.296
Angels,Rangers,L,0.456790123,42.4,25.16,0.314,0.586419753,46.2,25.24,0.324
Astros,Athletics,L,0.518518519,48.1,29.74,0.317,0.425925926,43.6,26.37,0.302
Royals,Mariners,L,0.5,46.3,27.5,0.307,0.530864198,46.6,28.27,0.325
Padres,Dodgers,W,0.419753086,48.5,26.19,0.297,0.561728395,46.3,32.05,0.314
Yankees,RedSox,W,0.518518519,44.8,30.4,0.311,0.574074074,46.6,29.18,0.346
Cubs,Pirates,L,0.635802469,46.7,30.36,0.333,0.481481481,47,26.13,0.318
Rangers,BlueJays,L,0.586419753,46.2,25.24,0.324,0.549382716,46.7,28.14,0.327
Braves,Mets,W,0.422360248,45.5,26.35,0.304,0.537037037,45.9,29.76,0.315
Giants,Reds,L,0.537037037,43.5,28.27,0.315,0.419753086,46.7,26.46,0.311
Angels,Brewers,W,0.456790123,42.4,25.16,0.314,0.450617284,49.9,25.31,0.315
Twins,Astros,L,0.364197531,47.9,26.48,0.317,0.518518519,48.1,29.74,0.317
Phillies,Cardinals,W,0.438271605,47,28.53,0.296,0.530864198,46.7,27.7,0.329
Nationals,Royals,L,0.586419753,45.8,31.17,0.322,0.5,46.3,27.5,0.307
Mariners,Athletics,L,0.530864198,46.6,28.27,0.325,0.425925926,43.6,26.37,0.302
Rockies,Padres,W,0.462962963,48.8,26.66,0.339,0.419753086,48.5,26.19,0.297
Tigers,Indians,W,0.534161491,48,27.31,0.33,0.583850932,46.4,30.09,0.326
Cubs,Pirates,L,0.635802469,46.7,30.36,0.333,0.481481481,47,26.13,0.318
Yankees,Orioles,W,0.518518519,44.8,30.4,0.311,0.549382716,47.3,26.91,0.326
Rangers,BlueJays,W,0.586419753,46.2,25.24,0.324,0.549382716,46.7,28.14,0.327
Braves,Mets,L,0.422360248,45.5,26.35,0.304,0.537037037,45.9,29.76,0.315
Dodgers,Rays,L,0.561728395,46.3,32.05,0.314,0.419753086,48.8,29.26,0.315
Giants,Reds,L,0.537037037,43.5,28.27,0.315,0.419753086,46.7,26.46,0.311
RedSox,WhiteSox,W,0.574074074,46.6,29.18,0.346,0.481481481,46.7,27.06,0.314
Angels,Brewers,W,0.456790123,42.4,25.16,0.314,0.450617284,49.9,25.31,0.315
Twins,Astros,W,0.364197531,47.9,26.48,0.317,0.518518519,48.1,29.74,0.317
Phillies,Cardinals,L,0.438271605,47,28.53,0.296,0.530864198,46.7,27.7,0.329
Nationals,Royals,W,0.586419753,45.8,31.17,0.322,0.5,46.3,27.5,0.307
Mariners,Athletics,L,0.530864198,46.6,28.27,0.325,0.425925926,43.6,26.37,0.302
Rockies,Padres,W,0.462962963,48.8,26.66,0.339,0.419753086,48.5,26.19,0.297
Cubs,Pirates,L,0.635802469,46.7,30.36,0.333,0.481481481,47,26.13,0.318
Giants,Reds,W,0.537037037,43.5,28.27,0.315,0.419753086,46.7,26.46,0.311
Braves,Mets,W,0.422360248,45.5,26.35,0.304,0.537037037,45.9,29.76,0.315
Angels,Brewers,L,0.456790123,42.4,25.16,0.314,0.450617284,49.9,25.31,0.315
Nationals,Royals,L,0.586419753,45.8,31.17,0.322,0.5,46.3,27.5,0.307
Mariners,Athletics,L,0.530864198,46.6,28.27,0.325,0.425925926,43.6,26.37,0.302
Rockies,Padres,L,0.462962963,48.8,26.66,0.339,0.419753086,48.5,26.19,0.297
Tigers,Indians,W,0.534161491,48,27.31,0.33,0.583850932,46.4,30.09,0.326
Yankees,Orioles,L,0.518518519,44.8,30.4,0.311,0.549382716,47.3,26.91,0.326
Rangers,BlueJays,W,0.586419753,46.2,25.24,0.324,0.549382716,46.7,28.14,0.327
Dodgers,Rays,W,0.561728395,46.3,32.05,0.314,0.419753086,48.8,29.26,0.315
RedSox,WhiteSox,L,0.574074074,46.6,29.18,0.346,0.481481481,46.7,27.06,0.314
Twins,Astros,W,0.364197531,47.9,26.48,0.317,0.518518519,48.1,29.74,0.317
Phillies,Cardinals,W,0.438271605,47,28.53,0.296,0.530864198,46.7,27.7,0.329
Phillies,Cardinals,W,0.438271605,47,28.53,0.296,0.530864198,46.7,27.7,0.329
Tigers,Indians,W,0.534161491,48,27.31,0.33,0.583850932,46.4,30.09,0.326
Yankees,Orioles,W,0.518518519,44.8,30.4,0.311,0.549382716,47.3,26.91,0.326
Rangers,BlueJays,W,0.586419753,46.2,25.24,0.324,0.549382716,46.7,28.14,0.327
Brewers,Reds,W,0.450617284,49.9,25.31,0.315,0.419753086,46.7,26.46,0.311
Nationals,Cubs,W,0.586419753,45.8,31.17,0.322,0.635802469,46.7,30.36,0.333
RedSox,WhiteSox,L,0.574074074,46.6,29.18,0.346,0.481481481,46.7,27.06,0.314
Mariners,Astros,L,0.530864198,46.6,28.27,0.325,0.518518519,48.1,29.74,0.317
Mets,Padres,W,0.537037037,45.9,29.76,0.315,0.419753086,48.5,26.19,0.297
Rockies,Giants,L,0.462962963,48.8,26.66,0.339,0.537037037,43.5,28.27,0.315
Nationals,Cubs,W,0.586419753,45.8,31.17,0.322,0.635802469,46.7,30.36,0.333
RedSox,Yankees,W,0.574074074,46.6,29.18,0.346,0.518518519,44.8,30.4,0.311
Dodgers,BlueJays,W,0.561728395,46.3,32.05,0.314,0.549382716,46.7,28.14,0.327
Royals,Indians,W,0.5,46.3,27.5,0.307,0.583850932,46.4,30.09,0.326
Brewers,Reds,W,0.450617284,49.9,25.31,0.315,0.419753086,46.7,26.46,0.311
Phillies,Marlins,W,0.438271605,47,28.53,0.296,0.49068323,46.1,28.77,0.309
Rangers,Tigers,L,0.586419753,46.2,25.24,0.324,0.534161491,48,27.31,0.33
Twins,WhiteSox,W,0.364197531,47.9,26.48,0.317,0.481481481,46.7,27.06,0.314
Mariners,Astros,W,0.530864198,46.6,28.27,0.325,0.518518519,48.1,29.74,0.317
Pirates,Cardinals,L,0.481481481,47,26.13,0.318,0.530864198,46.7,27.7,0.329
Rays,Angels,L,0.419753086,48.8,29.26,0.315,0.456790123,42.4,25.16,0.314
Rockies,Giants,W,0.462962963,48.8,26.66,0.339,0.537037037,43.5,28.27,0.315
Mets,Padres,W,0.537037037,45.9,29.76,0.315,0.419753086,48.5,26.19,0.297
RedSox,Yankees,W,0.574074074,46.6,29.18,0.346,0.518518519,44.8,30.4,0.311
Athletics,Orioles,L,0.425925926,43.6,26.37,0.302,0.549382716,47.3,26.91,0.326
Athletics,Orioles,W,0.425925926,43.6,26.37,0.302,0.549382716,47.3,26.91,0.326
Dodgers,BlueJays,L,0.561728395,46.3,32.05,0.314,0.549382716,46.7,28.14,0.327
Rangers,Tigers,L,0.586419753,46.2,25.24,0.324,0.534161491,48,27.31,0.33
Pirates,Cardinals,W,0.481481481,47,26.13,0.318,0.530864198,46.7,27.7,0.329
Rockies,Giants,W,0.462962963,48.8,26.66,0.339,0.537037037,43.5,28.27,0.315
Nationals,Cubs,W,0.586419753,45.8,31.17,0.322,0.635802469,46.7,30.36,0.333
Royals,Indians,L,0.5,46.3,27.5,0.307,0.583850932,46.4,30.09,0.326
Brewers,Reds,L,0.450617284,49.9,25.31,0.315,0.419753086,46.7,26.46,0.311
Twins,WhiteSox,W,0.364197531,47.9,26.48,0.317,0.481481481,46.7,27.06,0.314
Phillies,Marlins,L,0.438271605,47,28.53,0.296,0.49068323,46.1,28.77,0.309
Mariners,Astros,L,0.530864198,46.6,28.27,0.325,0.518518519,48.1,29.74,0.317
Mets,Padres,L,0.537037037,45.9,29.76,0.315,0.419753086,48.5,26.19,0.297
Rays,Angels,L,0.419753086,48.8,29.26,0.315,0.456790123,42.4,25.16,0.314
Dodgers,BlueJays,L,0.561728395,46.3,32.05,0.314,0.549382716,46.7,28.14,0.327
Royals,Indians,W,0.5,46.3,27.5,0.307,0.583850932,46.4,30.09,0.326
Brewers,Reds,L,0.450617284,49.9,25.31,0.315,0.419753086,46.7,26.46,0.311
Phillies,Marlins,L,0.438271605,47,28.53,0.296,0.49068323,46.1,28.77,0.309
Rangers,Tigers,L,0.586419753,46.2,25.24,0.324,0.534161491,48,27.31,0.33
Athletics,Orioles,W,0.425925926,43.6,26.37,0.302,0.549382716,47.3,26.91,0.326
Twins,WhiteSox,W,0.364197531,47.9,26.48,0.317,0.481481481,46.7,27.06,0.314
Mariners,Astros,W,0.530864198,46.6,28.27,0.325,0.518518519,48.1,29.74,0.317
Pirates,Cardinals,L,0.481481481,47,26.13,0.318,0.530864198,46.7,27.7,0.329
Nationals,Cubs,W,0.586419753,45.8,31.17,0.322,0.635802469,46.7,30.36,0.333
Rays,Angels,L,0.419753086,48.8,29.26,0.315,0.456790123,42.4,25.16,0.314
Rockies,Giants,L,0.462962963,48.8,26.66,0.339,0.537037037,43.5,28.27,0.315
Mets,Padres,L,0.537037037,45.9,29.76,0.315,0.419753086,48.5,26.19,0.297
RedSox,Yankees,L,0.574074074,46.6,29.18,0.346,0.518518519,44.8,30.4,0.311
Tigers,Nationals,W,0.534161491,48,27.31,0.33,0.586419753,45.8,31.17,0.322
Royals,Yankees,W,0.5,46.3,27.5,0.307,0.518518519,44.8,30.4,0.311
Brewers,Marlins,W,0.450617284,49.9,25.31,0.315,0.49068323,46.1,28.77,0.309
Athletics,RedSox,W,0.425925926,43.6,26.37,0.302,0.574074074,46.6,29.18,0.346
Pirates,Reds,W,0.481481481,47,26.13,0.318,0.419753086,46.7,26.46,0.311
WhiteSox,Rangers,L,0.481481481,46.7,27.06,0.314,0.586419753,46.2,25.24,0.324
Indians,Astros,W,0.583850932,46.4,30.09,0.326,0.518518519,48.1,29.74,0.317
Mets,Dodgers,L,0.537037037,45.9,29.76,0.315,0.561728395,46.3,32.05,0.314
Rays,Mariners,W,0.419753086,48.8,29.26,0.315,0.530864198,46.6,28.27,0.325
BlueJays,Giants,L,0.549382716,46.7,28.14,0.327,0.537037037,43.5,28.27,0.315
Tigers,Nationals,L,0.534161491,48,27.31,0.33,0.586419753,45.8,31.17,0.322
Royals,Yankees,W,0.5,46.3,27.5,0.307,0.518518519,44.8,30.4,0.311
Brewers,Marlins,L,0.450617284,49.9,25.31,0.315,0.49068323,46.1,28.77,0.309
Athletics,RedSox,W,0.425925926,43.6,26.37,0.302,0.574074074,46.6,29.18,0.346
Phillies,Braves,L,0.438271605,47,28.53,0.296,0.422360248,45.5,26.35,0.304
WhiteSox,Rangers,W,0.481481481,46.7,27.06,0.314,0.586419753,46.2,25.24,0.324
Padres,Cubs,W,0.419753086,48.5,26.19,0.297,0.635802469,46.7,30.36,0.333
Orioles,Twins,L,0.549382716,47.3,26.91,0.326,0.364197531,47.9,26.48,0.317
Indians,Astros,L,0.583850932,46.4,30.09,0.326,0.518518519,48.1,29.74,0.317
Cardinals,Angels,L,0.530864198,46.7,27.7,0.329,0.456790123,42.4,25.16,0.314
Mets,Dodgers,W,0.537037037,45.9,29.76,0.315,0.561728395,46.3,32.05,0.314
Rays,Mariners,W,0.419753086,48.8,29.26,0.315,0.530864198,46.6,28.27,0.325
BlueJays,Giants,L,0.549382716,46.7,28.14,0.327,0.537037037,43.5,28.27,0.315
Padres,Cubs,L,0.419753086,48.5,26.19,0.297,0.635802469,46.7,30.36,0.333
Padres,Cubs,L,0.419753086,48.5,26.19,0.297,0.635802469,46.7,30.36,0.333
Orioles,Twins,L,0.549382716,47.3,26.91,0.326,0.364197531,47.9,26.48,0.317
WhiteSox,Rangers,W,0.481481481,46.7,27.06,0.314,0.586419753,46.2,25.24,0.324
Indians,Astros,W,0.583850932,46.4,30.09,0.326,0.518518519,48.1,29.74,0.317
Rays,Mariners,W,0.419753086,48.8,29.26,0.315,0.530864198,46.6,28.27,0.325
BlueJays,Giants,W,0.549382716,46.7,28.14,0.327,0.537037037,43.5,28.27,0.315
Tigers,Nationals,W,0.534161491,48,27.31,0.33,0.586419753,45.8,31.17,0.322
Royals,Yankees,L,0.5,46.3,27.5,0.307,0.518518519,44.8,30.4,0.311
Brewers,Marlins,W,0.450617284,49.9,25.31,0.315,0.49068323,46.1,28.77,0.309
Athletics,RedSox,W,0.425925926,43.6,26.37,0.302,0.574074074,46.6,29.18,0.346
Phillies,Braves,W,0.438271605,47,28.53,0.296,0.422360248,45.5,26.35,0.304
Pirates,Reds,L,0.481481481,47,26.13,0.318,0.419753086,46.7,26.46,0.311
Cardinals,Angels,L,0.530864198,46.7,27.7,0.329,0.456790123,42.4,25.16,0.314
Mets,Dodgers,L,0.537037037,45.9,29.76,0.315,0.561728395,46.3,32.05,0.314
Tigers,Orioles,W,0.534161491,48,27.31,0.33,0.549382716,47.3,26.91,0.326
Royals,Yankees,W,0.5,46.3,27.5,0.307,0.518518519,44.8,30.4,0.311
Astros,RedSox,W,0.518518519,48.1,29.74,0.317,0.574074074,46.6,29.18,0.346
Phillies,Braves,L,0.438271605,47,28.53,0.296,0.422360248,45.5,26.35,0.304
Padres,Brewers,L,0.419753086,48.5,26.19,0.297,0.450617284,49.9,25.31,0.315
Cardinals,Angels,L,0.530864198,46.7,27.7,0.329,0.456790123,42.4,25.16,0.314
Mets,Dodgers,W,0.537037037,45.9,29.76,0.315,0.561728395,46.3,32.05,0.314
Pirates,Cubs,W,0.481481481,47,26.13,0.318,0.635802469,46.7,30.36,0.333
WhiteSox,Yankees,L,0.481481481,46.7,27.06,0.314,0.518518519,44.8,30.4,0.311
Reds,Phillies,W,0.419753086,46.7,26.46,0.311,0.438271605,47,28.53,0.296
Tigers,Orioles,W,0.534161491,48,27.31,0.33,0.549382716,47.3,26.91,0.326
Marlins,Nationals,W,0.49068323,46.1,28.77,0.309,0.586419753,45.8,31.17,0.322
Astros,RedSox,L,0.518518519,48.1,29.74,0.317,0.574074074,46.6,29.18,0.346
Twins,Indians,W,0.364197531,47.9,26.48,0.317,0.583850932,46.4,30.09,0.326
Athletics,Rays,L,0.425925926,43.6,26.37,0.302,0.419753086,48.8,29.26,0.315
BlueJays,Rangers,L,0.549382716,46.7,28.14,0.327,0.586419753,46.2,25.24,0.324
Padres,Brewers,W,0.419753086,48.5,26.19,0.297,0.450617284,49.9,25.31,0.315
Braves,Royals,W,0.422360248,45.5,26.35,0.304,0.5,46.3,27.5,0.307
Mets,Rockies,W,0.537037037,45.9,29.76,0.315,0.462962963,48.8,26.66,0.339
Angels,Mariners,L,0.456790123,42.4,25.16,0.314,0.530864198,46.6,28.27,0.325
Cardinals,Dodgers,W,0.530864198,46.7,27.7,0.329,0.561728395,46.3,32.05,0.314
WhiteSox,Yankees,W,0.481481481,46.7,27.06,0.314,0.518518519,44.8,30.4,0.311
Astros,RedSox,W,0.518518519,48.1,29.74,0.317,0.574074074,46.6,29.18,0.346
Marlins,Nationals,W,0.49068323,46.1,28.77,0.309,0.586419753,45.8,31.17,0.322
Marlins,Nationals,L,0.49068323,46.1,28.77,0.309,0.586419753,45.8,31.17,0.322
Pirates,Cubs,W,0.481481481,47,26.13,0.318,0.635802469,46.7,30.36,0.333
Twins,Indians,L,0.364197531,47.9,26.48,0.317,0.583850932,46.4,30.09,0.326
Athletics,Rays,W,0.425925926,43.6,26.37,0.302,0.419753086,48.8,29.26,0.315
Reds,Phillies,W,0.419753086,46.7,26.46,0.311,0.438271605,47,28.53,0.296
Tigers,Orioles,W,0.534161491,48,27.31,0.33,0.549382716,47.3,26.91,0.326
Padres,Brewers,L,0.419753086,48.5,26.19,0.297,0.450617284,49.9,25.31,0.315
Braves,Royals,L,0.422360248,45.5,26.35,0.304,0.5,46.3,27.5,0.307
BlueJays,Rangers,W,0.549382716,46.7,28.14,0.327,0.586419753,46.2,25.24,0.324
Mets,Rockies,W,0.537037037,45.9,29.76,0.315,0.462962963,48.8,26.66,0.339
Angels,Mariners,L,0.456790123,42.4,25.16,0.314,0.530864198,46.6,28.27,0.325
Cardinals,Dodgers,W,0.530864198,46.7,27.7,0.329,0.561728395,46.3,32.05,0.314
WhiteSox,Yankees,W,0.481481481,46.7,27.06,0.314,0.518518519,44.8,30.4,0.311
Twins,Indians,L,0.364197531,47.9,26.48,0.317,0.583850932,46.4,30.09,0.326
Athletics,Rays,L,0.425925926,43.6,26.37,0.302,0.419753086,48.8,29.26,0.315
Reds,Phillies,L,0.419753086,46.7,26.46,0.311,0.438271605,47,28.53,0.296
Tigers,Orioles,L,0.534161491,48,27.31,0.33,0.549382716,47.3,26.91,0.326
Astros,RedSox,W,0.518518519,48.1,29.74,0.317,0.574074074,46.6,29.18,0.346
Marlins,Nationals,L,0.49068323,46.1,28.77,0.309,0.586419753,45.8,31.17,0.322
Padres,Brewers,W,0.419753086,48.5,26.19,0.297,0.450617284,49.9,25.31,0.315
Braves,Royals,W,0.422360248,45.5,26.35,0.304,0.5,46.3,27.5,0.307
Pirates,Cubs,L,0.481481481,47,26.13,0.318,0.635802469,46.7,30.36,0.333
BlueJays,Rangers,W,0.549382716,46.7,28.14,0.327,0.586419753,46.2,25.24,0.324
Angels,Mariners,L,0.456790123,42.4,25.16,0.314,0.530864198,46.6,28.27,0.325
Mets,Rockies,W,0.537037037,45.9,29.76,0.315,0.462962963,48.8,26.66,0.339
Cardinals,Dodgers,L,0.530864198,46.7,27.7,0.329,0.561728395,46.3,32.05,0.314
Reds,Indians,W,0.419753086,46.7,26.46,0.311,0.583850932,46.4,30.09,0.326
Braves,Pirates,W,0.422360248,45.5,26.35,0.304,0.481481481,47,26.13,0.318
Marlins,Phillies,L,0.49068323,46.1,28.77,0.309,0.438271605,47,28.53,0.296
Rays,BlueJays,L,0.419753086,48.8,29.26,0.315,0.549382716,46.7,28.14,0.327
Twins,Tigers,W,0.364197531,47.9,26.48,0.317,0.534161491,48,27.31,0.33
Rangers,Athletics,W,0.586419753,46.2,25.24,0.324,0.425925926,43.6,26.37,0.302
Angels,Dodgers,L,0.456790123,42.4,25.16,0.314,0.561728395,46.3,32.05,0.314
Reds,Indians,W,0.419753086,46.7,26.46,0.311,0.583850932,46.4,30.09,0.326
Braves,Pirates,W,0.422360248,45.5,26.35,0.304,0.481481481,47,26.13,0.318
Marlins,Phillies,W,0.49068323,46.1,28.77,0.309,0.438271605,47,28.53,0.296
Mariners,Orioles,L,0.530864198,46.6,28.27,0.325,0.549382716,47.3,26.91,0.326
Rays,BlueJays,L,0.419753086,48.8,29.26,0.315,0.549382716,46.7,28.14,0.327
Twins,Tigers,W,0.364197531,47.9,26.48,0.317,0.534161491,48,27.31,0.33
Nationals,Mets,W,0.586419753,45.8,31.17,0.322,0.537037037,45.9,29.76,0.315
Cubs,Brewers,W,0.635802469,46.7,30.36,0.333,0.450617284,49.9,25.31,0.315
Astros,WhiteSox,L,0.518518519,48.1,29.74,0.317,0.481481481,46.7,27.06,0.314
RedSox,Royals,W,0.574074074,46.6,29.18,0.346,0.5,46.3,27.5,0.307
Rockies,Cardinals,L,0.462962963,48.8,26.66,0.339,0.530864198,46.7,27.7,0.329
Rangers,Athletics,W,0.586419753,46.2,25.24,0.324,0.425925926,43.6,26.37,0.302
Angels,Dodgers,W,0.456790123,42.4,25.16,0.314,0.561728395,46.3,32.05,0.314
Giants,Padres,L,0.537037037,43.5,28.27,0.315,0.419753086,48.5,26.19,0.297
Marlins,Phillies,W,0.49068323,46.1,28.77,0.309,0.438271605,47,28.53,0.296
Twins,Tigers,W,0.364197531,47.9,26.48,0.317,0.534161491,48,27.31,0.33
RedSox,Royals,W,0.574074074,46.6,29.18,0.346,0.5,46.3,27.5,0.307
RedSox,Royals,L,0.574074074,46.6,29.18,0.346,0.5,46.3,27.5,0.307
Rangers,Athletics,W,0.586419753,46.2,25.24,0.324,0.425925926,43.6,26.37,0.302
Braves,Pirates,L,0.422360248,45.5,26.35,0.304,0.481481481,47,26.13,0.318
Mariners,Orioles,W,0.530864198,46.6,28.27,0.325,0.549382716,47.3,26.91,0.326
Rays,BlueJays,L,0.419753086,48.8,29.26,0.315,0.549382716,46.7,28.14,0.327
Indians,Reds,L,0.583850932,46.4,30.09,0.326,0.419753086,46.7,26.46,0.311
Nationals,Mets,L,0.586419753,45.8,31.17,0.322,0.537037037,45.9,29.76,0.315
Cubs,Brewers,L,0.635802469,46.7,30.36,0.333,0.450617284,49.9,25.31,0.315
Astros,WhiteSox,L,0.518518519,48.1,29.74,0.317,0.481481481,46.7,27.06,0.314
Rockies,Cardinals,W,0.462962963,48.8,26.66,0.339,0.530864198,46.7,27.7,0.329
Dodgers,Angels,W,0.561728395,46.3,32.05,0.314,0.456790123,42.4,25.16,0.314
Giants,Padres,L,0.537037037,43.5,28.27,0.315,0.419753086,48.5,26.19,0.297
Mariners,Orioles,L,0.530864198,46.6,28.27,0.325,0.549382716,47.3,26.91,0.326
Cubs,Brewers,W,0.635802469,46.7,30.36,0.333,0.450617284,49.9,25.31,0.315
Braves,Pirates,W,0.422360248,45.5,26.35,0.304,0.481481481,47,26.13,0.318
Indians,Reds,L,0.583850932,46.4,30.09,0.326,0.419753086,46.7,26.46,0.311
Nationals,Mets,L,0.586419753,45.8,31.17,0.322,0.537037037,45.9,29.76,0.315
Rockies,Cardinals,W,0.462962963,48.8,26.66,0.339,0.530864198,46.7,27.7,0.329
Astros,WhiteSox,W,0.518518519,48.1,29.74,0.317,0.481481481,46.7,27.06,0.314
BlueJays,Twins,L,0.549382716,46.7,28.14,0.327,0.364197531,47.9,26.48,0.317
Giants,Padres,L,0.537037037,43.5,28.27,0.315,0.419753086,48.5,26.19,0.297
Dodgers,Angels,W,0.561728395,46.3,32.05,0.314,0.456790123,42.4,25.16,0.314
