AWAY,HOME,HOME_TEAM_RESULT,W%,BABIP,ERA,K%,K%,AVG,SLG,W%,BABIP,ERA,K%,K%,AVG,SLG
Angels,Yankees,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405
BlueJays,Tigers,W,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438
Astros,Rangers,W,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,0.586419753,0.292,4.38,18.7,20,0.262,0.433
Braves,Padres,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,0.419753086,0.296,4.44,19.6,25,0.235,0.39
Indians,Mariners,L,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,0.530864198,0.292,4,21.4,20.7,0.259,0.43
Rockies,Dodgers,L,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409
Mets,Pirates,W,0.537037037,0.308,3.58,23,21.3,0.246,0.417,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402
Mets,Pirates,W,0.537037037,0.308,3.58,23,21.3,0.246,0.417,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402
Cubs,Phillies,W,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,0.438271605,0.304,4.64,21.1,23,0.24,0.385
Royals,Orioles,W,0.5,0.298,4.21,20.8,20.2,0.261,0.4,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443
Angels,Yankees,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405
Cardinals,Reds,W,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408
BlueJays,Tigers,W,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438
Astros,Rangers,W,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,0.586419753,0.292,4.38,18.7,20,0.262,0.433
Marlins,Twins,W,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421
Athletics,Brewers,W,0.425925926,0.299,4.51,19.3,19,0.246,0.395,0.450617284,0.3,4.1,19,25.5,0.244,0.407
Nationals,WhiteSox,L,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,0.481481481,0.298,4.12,20.5,21,0.257,0.41
Braves,Padres,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,0.419753086,0.296,4.44,19.6,25,0.235,0.39
Indians,Mariners,W,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,0.530864198,0.292,4,21.4,20.7,0.259,0.43
Rockies,Dodgers,W,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409
RedSox,Giants,L,0.574074074,0.293,4,22.4,18.4,0.282,0.461,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398
Cubs,Phillies,L,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,0.438271605,0.304,4.64,21.1,23,0.24,0.385
BlueJays,Tigers,L,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438
Braves,Padres,L,0.422360248,0.293,4.51,19.6,20,0.255,0.384,0.419753086,0.296,4.44,19.6,25,0.235,0.39
Royals,Orioles,W,0.5,0.298,4.21,20.8,20.2,0.261,0.4,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443
Angels,Yankees,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405
Mets,Pirates,L,0.537037037,0.308,3.58,23,21.3,0.246,0.417,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402
Cardinals,Reds,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408
Astros,Rangers,L,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,0.586419753,0.292,4.38,18.7,20,0.262,0.433
Marlins,Twins,W,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421
Athletics,Brewers,W,0.425925926,0.299,4.51,19.3,19,0.246,0.395,0.450617284,0.3,4.1,19,25.5,0.244,0.407
Nationals,WhiteSox,L,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,0.481481481,0.298,4.12,20.5,21,0.257,0.41
Indians,Mariners,W,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,0.530864198,0.292,4,21.4,20.7,0.259,0.43
Rockies,Dodgers,L,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409
RedSox,Giants,W,0.574074074,0.293,4,22.4,18.4,0.282,0.461,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398
Astros,Rangers,W,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,0.586419753,0.292,4.38,18.7,20,0.262,0.433
Pirates,Rockies,W,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457
Angels,Yankees,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405
Orioles,BlueJays,L,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426
Cardinals,Reds,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408
Marlins,Twins,L,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421
Mets,Brewers,L,0.537037037,0.308,3.58,23,21.3,0.246,0.417,0.450617284,0.3,4.1,19,25.5,0.244,0.407
Nationals,WhiteSox,W,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,0.481481481,0.298,4.12,20.5,21,0.257,0.41
Indians,Mariners,L,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,0.530864198,0.292,4,21.4,20.7,0.259,0.43
Tigers,Yankees,W,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405
Phillies,Nationals,W,0.438271605,0.304,4.64,21.1,23,0.24,0.385,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426
Cardinals,Pirates,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402
Orioles,BlueJays,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426
Astros,Rays,W,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426
Athletics,Reds,W,0.425925926,0.299,4.51,19.3,19,0.246,0.395,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408
Cubs,Braves,W,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,0.422360248,0.293,4.51,19.6,20,0.255,0.384
RedSox,Twins,L,0.574074074,0.293,4,22.4,18.4,0.282,0.461,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421
Royals,WhiteSox,W,0.5,0.298,4.21,20.8,20.2,0.261,0.4,0.481481481,0.298,4.12,20.5,21,0.257,0.41
Mets,Brewers,L,0.537037037,0.308,3.58,23,21.3,0.246,0.417,0.450617284,0.3,4.1,19,25.5,0.244,0.407
Padres,Rockies,L,0.419753086,0.296,4.44,19.6,25,0.235,0.39,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457
Indians,Angels,L,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405
Rangers,Mariners,W,0.586419753,0.292,4.38,18.7,20,0.262,0.433,0.530864198,0.292,4,21.4,20.7,0.259,0.43
Dodgers,Giants,L,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398
Phillies,Nationals,W,0.438271605,0.304,4.64,21.1,23,0.24,0.385,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426
Orioles,BlueJays,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426
RedSox,Twins,L,0.574074074,0.293,4,22.4,18.4,0.282,0.461,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421
Royals,WhiteSox,L,0.5,0.298,4.21,20.8,20.2,0.261,0.4,0.481481481,0.298,4.12,20.5,21,0.257,0.41
Cubs,Braves,L,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,0.422360248,0.293,4.51,19.6,20,0.255,0.384
Astros,Rays,L,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426
Mets,Brewers,W,0.537037037,0.308,3.58,23,21.3,0.246,0.417,0.450617284,0.3,4.1,19,25.5,0.244,0.407
Athletics,Reds,W,0.425925926,0.299,4.51,19.3,19,0.246,0.395,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408
Padres,Rockies,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457
Tigers,Yankees,L,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405
Dodgers,Giants,W,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398
Cardinals,Pirates,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402
Indians,Angels,W,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405
Rangers,Mariners,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,0.530864198,0.292,4,21.4,20.7,0.259,0.43
Orioles,BlueJays,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426
Astros,Rays,W,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426
Athletics,Reds,L,0.425925926,0.299,4.51,19.3,19,0.246,0.395,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408
Cubs,Braves,L,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,0.422360248,0.293,4.51,19.6,20,0.255,0.384
Tigers,Yankees,L,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405
RedSox,Twins,W,0.574074074,0.293,4,22.4,18.4,0.282,0.461,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421
Royals,WhiteSox,L,0.5,0.298,4.21,20.8,20.2,0.261,0.4,0.481481481,0.298,4.12,20.5,21,0.257,0.41
Mets,Brewers,W,0.537037037,0.308,3.58,23,21.3,0.246,0.417,0.450617284,0.3,4.1,19,25.5,0.244,0.407
Indians,Angels,L,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405
Phillies,Nationals,W,0.438271605,0.304,4.64,21.1,23,0.24,0.385,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426
Padres,Rockies,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457
Rangers,Mariners,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,0.530864198,0.292,4,21.4,20.7,0.259,0.43
Cardinals,Pirates,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402
Dodgers,Giants,W,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398
Cubs,Nationals,W,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426
Phillies,BlueJays,L,0.438271605,0.304,4.64,21.1,23,0.24,0.385,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426
Reds,Braves,L,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,0.422360248,0.293,4.51,19.6,20,0.255,0.384
Tigers,WhiteSox,W,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,0.481481481,0.298,4.12,20.5,21,0.257,0.41
Indians,Royals,W,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,0.5,0.298,4.21,20.8,20.2,0.261,0.4
Twins,Angels,L,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405
Rangers,Athletics,W,0.586419753,0.292,4.38,18.7,20,0.262,0.433,0.425925926,0.299,4.51,19.3,19,0.246,0.395
Marlins,Padres,L,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,0.419753086,0.296,4.44,19.6,25,0.235,0.39
Brewers,Giants,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398
Phillies,BlueJays,W,0.438271605,0.304,4.64,21.1,23,0.24,0.385,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426
Cubs,Nationals,L,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426
Orioles,RedSox,L,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,0.574074074,0.293,4,22.4,18.4,0.282,0.461
Reds,Braves,L,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,0.422360248,0.293,4.51,19.6,20,0.255,0.384
Pirates,Mets,L,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,0.537037037,0.308,3.58,23,21.3,0.246,0.417
Mariners,Rays,W,0.530864198,0.292,4,21.4,20.7,0.259,0.43,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426
Tigers,WhiteSox,L,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,0.481481481,0.298,4.12,20.5,21,0.257,0.41
Indians,Royals,W,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,0.5,0.298,4.21,20.8,20.2,0.261,0.4
Astros,Cardinals,L,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443
Yankees,Rockies,W,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457
Twins,Angels,W,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405
Rangers,Athletics,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,0.425925926,0.299,4.51,19.3,19,0.246,0.395
Marlins,Padres,L,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,0.419753086,0.296,4.44,19.6,25,0.235,0.39
Brewers,Giants,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398
Yankees,Rockies,W,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457
Marlins,Padres,W,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,0.419753086,0.296,4.44,19.6,25,0.235,0.39
Brewers,Giants,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398
Cubs,Nationals,W,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426
BlueJays,Phillies,L,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,0.438271605,0.304,4.64,21.1,23,0.24,0.385
Orioles,RedSox,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,0.574074074,0.293,4,22.4,18.4,0.282,0.461
Reds,Braves,W,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,0.422360248,0.293,4.51,19.6,20,0.255,0.384
Pirates,Mets,W,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,0.537037037,0.308,3.58,23,21.3,0.246,0.417
Mariners,Rays,W,0.530864198,0.292,4,21.4,20.7,0.259,0.43,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426
Astros,Cardinals,L,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443
Tigers,WhiteSox,W,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,0.481481481,0.298,4.12,20.5,21,0.257,0.41
Indians,Royals,W,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,0.5,0.298,4.21,20.8,20.2,0.261,0.4
Twins,Angels,W,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405
Rangers,Athletics,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,0.425925926,0.299,4.51,19.3,19,0.246,0.395
Reds,Braves,W,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,0.422360248,0.293,4.51,19.6,20,0.255,0.384
Mariners,Rays,L,0.530864198,0.292,4,21.4,20.7,0.259,0.43,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426
Rangers,Athletics,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,0.425925926,0.299,4.51,19.3,19,0.246,0.395
BlueJays,Phillies,L,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,0.438271605,0.304,4.64,21.1,23,0.24,0.385
Orioles,RedSox,L,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,0.574074074,0.293,4,22.4,18.4,0.282,0.461
Pirates,Mets,W,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,0.537037037,0.308,3.58,23,21.3,0.246,0.417
Yankees,Twins,L,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421
Tigers,Royals,L,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,0.5,0.298,4.21,20.8,20.2,0.261,0.4
Brewers,Dodgers,L,0.450617284,0.3,4.1,19,25.5,0.244,0.407,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409
Nationals,Padres,L,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,0.419753086,0.296,4.44,19.6,25,0.235,0.39
Pirates,Cubs,W,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429
BlueJays,Orioles,L,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443
Braves,Mets,L,0.422360248,0.293,4.51,19.6,20,0.255,0.384,0.537037037,0.308,3.58,23,21.3,0.246,0.417
WhiteSox,Indians,W,0.481481481,0.298,4.12,20.5,21,0.257,0.41,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43
Rockies,Marlins,W,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394
Giants,Rays,L,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426
Mariners,RedSox,L,0.530864198,0.292,4,21.4,20.7,0.259,0.43,0.574074074,0.293,4,22.4,18.4,0.282,0.461
Reds,Astros,L,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417
Yankees,Twins,L,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421
Tigers,Royals,W,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,0.5,0.298,4.21,20.8,20.2,0.261,0.4
Rangers,Cardinals,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443
Angels,Athletics,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,0.425925926,0.299,4.51,19.3,19,0.246,0.395
Brewers,Dodgers,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409
Nationals,Padres,L,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,0.419753086,0.296,4.44,19.6,25,0.235,0.39
Yankees,Twins,L,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421
Angels,Athletics,L,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,0.425925926,0.299,4.51,19.3,19,0.246,0.395
Mariners,RedSox,W,0.530864198,0.292,4,21.4,20.7,0.259,0.43,0.574074074,0.293,4,22.4,18.4,0.282,0.461
BlueJays,Orioles,W,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443
Reds,Astros,W,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417
Rockies,Marlins,W,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394
Giants,Rays,L,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426
Rangers,Cardinals,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443
WhiteSox,Indians,W,0.481481481,0.298,4.12,20.5,21,0.257,0.41,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43
Braves,Mets,L,0.422360248,0.293,4.51,19.6,20,0.255,0.384,0.537037037,0.308,3.58,23,21.3,0.246,0.417
Tigers,Royals,W,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,0.5,0.298,4.21,20.8,20.2,0.261,0.4
Pirates,Cubs,W,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429
Brewers,Dodgers,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409
Nationals,Padres,W,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,0.419753086,0.296,4.44,19.6,25,0.235,0.39
Braves,Mets,L,0.422360248,0.293,4.51,19.6,20,0.255,0.384,0.537037037,0.308,3.58,23,21.3,0.246,0.417
WhiteSox,Indians,W,0.481481481,0.298,4.12,20.5,21,0.257,0.41,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43
Rockies,Marlins,W,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394
Giants,Rays,L,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426
Mariners,RedSox,W,0.530864198,0.292,4,21.4,20.7,0.259,0.43,0.574074074,0.293,4,22.4,18.4,0.282,0.461
BlueJays,Orioles,W,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443
Reds,Astros,W,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417
Yankees,Twins,W,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421
Tigers,Royals,W,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,0.5,0.298,4.21,20.8,20.2,0.261,0.4
Rangers,Cardinals,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443
Angels,Athletics,L,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,0.425925926,0.299,4.51,19.3,19,0.246,0.395
Brewers,Dodgers,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409
Nationals,Padres,W,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,0.419753086,0.296,4.44,19.6,25,0.235,0.39
Pirates,Cubs,W,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429
Giants,Pirates,W,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402
WhiteSox,RedSox,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,0.574074074,0.293,4,22.4,18.4,0.282,0.461
Rockies,Marlins,L,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394
Mariners,Tigers,W,0.530864198,0.292,4,21.4,20.7,0.259,0.43,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438
Rays,Indians,W,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43
Orioles,Rangers,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,0.586419753,0.292,4.38,18.7,20,0.262,0.433
Cardinals,Cubs,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429
Angels,Astros,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417
Nationals,Dodgers,W,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409
Rockies,Yankees,L,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405
Padres,Orioles,L,0.419753086,0.296,4.44,19.6,25,0.235,0.39,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443
Giants,Pirates,L,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402
Braves,Marlins,L,0.422360248,0.293,4.51,19.6,20,0.255,0.384,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394
WhiteSox,RedSox,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,0.574074074,0.293,4,22.4,18.4,0.282,0.461
Royals,Mets,W,0.5,0.298,4.21,20.8,20.2,0.261,0.4,0.537037037,0.308,3.58,23,21.3,0.246,0.417
Mariners,Tigers,W,0.530864198,0.292,4,21.4,20.7,0.259,0.43,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438
Rays,Indians,W,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43
Reds,Rangers,L,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,0.586419753,0.292,4.38,18.7,20,0.262,0.433
Cardinals,Cubs,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429
Angels,Astros,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417
Phillies,Twins,W,0.438271605,0.304,4.64,21.1,23,0.24,0.385,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421
Brewers,Athletics,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,0.425925926,0.299,4.51,19.3,19,0.246,0.395
Nationals,Dodgers,W,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409
