AWAY,HOME,HOME_TEAM_RESULT,W%,BABIP,ERA,K%,K%,AVG,SLG,W%,BABIP,ERA,K%,K%,AVG,SLG
Orioles,Twins,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421
RedSox,Yankees,W,0.574074074,0.293,4,22.4,18.4,0.282,0.461,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405
Tigers,Nationals,W,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426
Mets,Astros,L,0.537037037,0.308,3.58,23,21.3,0.246,0.417,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417
Pirates,Braves,L,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,0.422360248,0.293,4.51,19.6,20,0.255,0.384
Cardinals,Marlins,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394
Phillies,BlueJays,W,0.438271605,0.304,4.64,21.1,23,0.24,0.385,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426
WhiteSox,Royals,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,0.5,0.298,4.21,20.8,20.2,0.261,0.4
Reds,Cubs,L,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429
Brewers,Athletics,D,0.450617284,0.3,4.1,19,25.5,0.244,0.407,0.425925926,0.299,4.51,19.3,19,0.246,0.395
Giants,Indians,L,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43
Rangers,Giants,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398
Angels,Mariners,L,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,0.530864198,0.292,4,21.4,20.7,0.259,0.43
Padres,Rockies,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457
Rays,Orioles,L,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443
Orioles,RedSox,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,0.574074074,0.293,4,22.4,18.4,0.282,0.461
Astros,Pirates,L,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402
Marlins,Tigers,W,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438
Twins,Rays,L,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426
Yankees,Phillies,W,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,0.438271605,0.304,4.64,21.1,23,0.24,0.385
BlueJays,Astros,W,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417
Nationals,Cardinals,L,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443
Braves,Mets,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,0.537037037,0.308,3.58,23,21.3,0.246,0.417
Indians,Brewers,W,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,0.450617284,0.3,4.1,19,25.5,0.244,0.407
Rockies,Reds,L,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408
Dodgers,Giants,L,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398
Padres,WhiteSox,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,0.481481481,0.298,4.12,20.5,21,0.257,0.41
Mariners,Rangers,L,0.530864198,0.292,4,21.4,20.7,0.259,0.43,0.586419753,0.292,4.38,18.7,20,0.262,0.433
Royals,Angels,L,0.5,0.298,4.21,20.8,20.2,0.261,0.4,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405
Athletics,Padres,L,0.425925926,0.299,4.51,19.3,19,0.246,0.395,0.419753086,0.296,4.44,19.6,25,0.235,0.39
Astros,Yankees,L,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405
Marlins,Nationals,W,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426
Twins,Orioles,L,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443
Mets,Cardinals,W,0.537037037,0.308,3.58,23,21.3,0.246,0.417,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443
Phillies,Pirates,L,0.438271605,0.304,4.64,21.1,23,0.24,0.385,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402
Rays,RedSox,L,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,0.574074074,0.293,4,22.4,18.4,0.282,0.461
Braves,BlueJays,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426
Tigers,Mets,W,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,0.537037037,0.308,3.58,23,21.3,0.246,0.417
Indians,Dodgers,L,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409
Royals,Cubs,L,0.5,0.298,4.21,20.8,20.2,0.261,0.4,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429
