AWAY,HOME,HOME_TEAM_RESULT,W%,BABIP,ERA,K%,K%,AVG,SLG,P_Index,B_index,W%,BABIP,ERA,K%,K%,AVG,SLG,P_Index,B_index
Orioles,Braves,D,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5
Pirates,Tigers,L,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48
BlueJays,Phillies,L,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
Reds,Indians,L,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
Braves,Orioles,L,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3
Tigers,Yankees,W,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8
Tigers,Pirates,L,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47
Twins,RedSox,L,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6
Nationals,Rays,L,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8
Phillies,BlueJays,D,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7
Indians,Reds,D,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7
Angels,Giants,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
Rangers,Royals,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3
Padres,Mariners,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6
Orioles,Rays,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8
Tigers,Braves,L,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5
Astros,Phillies,L,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
Marlins,Cardinals,W,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7
Mets,Nationals,W,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8
Phillies,Yankees,L,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8
BlueJays,Pirates,L,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47
Cubs,Brewers,W,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9
WhiteSox,Dodgers,W,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3
Reds,Indians,L,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
Brewers,Giants,L,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
Rangers,Royals,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3
Athletics,Angels,W,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4
Mariners,Padres,L,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5
RedSox,Twins,L,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9
