AWAY,HOME,HOME_TEAM_RESULT,W%,Off,K%,AVG
Mariners,Indians,W,0.052986734,-8.7,-0.5,0.003
Rangers,Athletics,L,-0.160493827,-87.3,-1,-0.016
Reds,Giants,W,0.117283951,55.7,-3.4,0.002
Braves,Astros,W,0.09615827,109.6,3.4,-0.008
Orioles,Phillies,W,-0.111111111,-158.5,1.3,-0.016
RedSox,Pirates,L,-0.092592593,-145.9,2.9,-0.025
Marlins,Cardinals,L,0.040180968,73.8,1.4,-0.008
Phillies,Twins,L,-0.074074074,112.2,-0.2,0.011
BlueJays,Rays,L,-0.12962963,-25.6,2.6,-0.005
Nationals,Tigers,W,-0.052258262,22.4,1.1,0.011
Yankees,Mets,D,0.018518519,21.7,1.7,-0.006
Indians,Cubs,L,0.051951537,26.3,0.9,-0.006
Rockies,Giants,L,0.074074074,19.4,-3.6,-0.017
Brewers,Royals,W,0.049382716,-25.2,-5.3,0.017
Athletics,WhiteSox,L,0.055555556,72.6,2,0.011
Rangers,Reds,L,-0.166666667,-65.1,1.1,-0.006
Royals,Mariners,W,0.030864198,123,0.5,-0.002
Dodgers,Angels,D,-0.104938272,-7.9,-5,0.011
Braves,Marlins,L,0.068322981,55.9,-0.2,0.008
Tigers,Phillies,D,-0.095889886,-155,1.7,-0.027
Twins,RedSox,L,0.209876543,145.9,-4.4,0.031
Yankees,Orioles,D,0.030864198,65,2.1,0.004
Pirates,Rays,W,-0.061728395,15.9,3.2,-0.014
BlueJays,Yankees,L,-0.030864198,-60.2,-2.3,0.004
Cardinals,Mets,W,0.00617284,-44.4,0.1,-0.009
WhiteSox,Rangers,L,0.104938272,14.7,-1,0.005
Royals,WhiteSox,L,-0.018518519,55.4,0.8,-0.004
Dodgers,Athletics,L,-0.135802469,-84.1,-2.4,-0.003
Padres,Indians,W,0.164097845,108.4,-4.8,0.027
Giants,Brewers,L,-0.086419753,-35.5,7.8,-0.014
Cubs,Mariners,W,-0.104938272,-17.6,-0.4,0.003
Reds,Rockies,L,0.043209877,36.3,0.2,0.019
Astros,Nationals,L,0.067901235,-6.9,-3.2,0.009
Braves,Cardinals,W,0.108503949,129.7,1.2,0
Orioles,Yankees,W,-0.030864198,-65,-2.1,-0.004
Tigers,Astros,W,-0.015642972,-15.5,2.1,-0.02
Marlins,Twins,L,-0.126485699,26.4,3,-0.012
Mets,Nationals,W,0.049382716,17.4,-1.1,0.01
Phillies,Braves,L,-0.015911356,29.9,-3,0.015
Rays,Pirates,W,0.061728395,-15.9,-3.2,0.014
RedSox,BlueJays,W,-0.024691358,-104.4,3.5,-0.034
Reds,Cubs,W,0.216049383,135.6,0,0
Angels,Dodgers,L,0.104938272,7.9,5,-0.011
Athletics,Reds,L,-0.00617284,22.2,2.1,0.01
Mariners,Giants,L,0.00617284,-62.3,-3,-0.001
Rangers,Brewers,L,-0.135802469,-44.9,5.5,-0.018
WhiteSox,Padres,L,-0.061728395,-49.5,4,-0.022
Indians,Rockies,W,-0.120887969,-73,1.1,0.013
Astros,Cardinals,W,0.012345679,20.1,-2.2,0.008
Marlins,RedSox,L,0.083390844,172.3,-1.4,0.019
Twins,Orioles,W,0.185185185,46.3,-1.1,0.005
Yankees,Rays,W,-0.098765432,34.6,4.9,-0.009
Pirates,Tigers,W,0.052680009,42.8,0,0.01
BlueJays,Phillies,W,-0.111111111,-153.7,1.1,-0.008
Cardinals,Mets,L,0.00617284,-44.4,0.1,-0.009
WhiteSox,Cubs,W,0.154320988,85.2,0.1,-0.001
Rockies,Brewers,W,-0.012345679,-16.1,4.2,-0.031
Athletics,Rangers,W,0.160493827,87.3,1,0.016
Giants,Angels,W,-0.080246914,-1.7,-1.3,0.002
Indians,Padres,W,-0.164097845,-108.4,4.8,-0.027
Nationals,Braves,L,-0.164059505,-102.7,-0.2,-0.001
Cubs,Dodgers,W,-0.074074074,-73.7,0.3,-0.007
Mariners,Reds,L,-0.111111111,-118,0.4,-0.003
Dodgers,Mariners,L,-0.030864198,56.1,-0.7,0.01
Braves,Astros,W,0.09615827,109.6,3.4,-0.008
Orioles,Twins,W,-0.185185185,-46.3,1.1,-0.005
RedSox,Rays,W,-0.154320988,-130,6.1,-0.039
Tigers,Pirates,W,-0.052680009,-42.8,0,-0.01
Mets,Marlins,L,-0.046353807,-29.4,-1.5,0.017
Phillies,Yankees,L,0.080246914,93.5,-3.4,0.012
Cardinals,Nationals,D,0.055555556,-27,-1,0.001
Rays,BlueJays,W,0.12962963,25.6,-2.6,0.005
Cubs,Athletics,D,-0.209876543,-157.8,-2.1,-0.01
Indians,Royals,L,-0.083850932,-114.3,0,-0.001
Brewers,Indians,L,0.133233648,89.1,-5.3,0.018
Reds,Mariners,L,0.111111111,118,-0.4,0.003
Dodgers,Rockies,L,-0.098765432,-25.6,-0.1,0.026
Rangers,Angels,W,-0.12962963,-11.1,-3.6,-0.002
Padres,Giants,W,0.117283951,54.8,-7.3,0.023
Astros,Nationals,D,0.067901235,-6.9,-3.2,0.009
Twins,Cardinals,L,0.166666667,47.4,-1.6,0.004
Mets,Tigers,W,-0.002875546,39.8,0,0.021
Phillies,Orioles,W,0.111111111,158.5,-1.3,0.016
Pirates,RedSox,L,0.092592593,145.9,-2.9,0.025
Rays,Braves,W,0.002607162,-98.2,-4.5,0.012
WhiteSox,Royals,W,0.018518519,-55.4,-0.8,0.004
Brewers,Dodgers,W,0.111111111,41.7,-4.1,0.005
Padres,Cubs,L,0.216049383,134.7,-3.9,0.021
Rangers,Indians,W,-0.002568821,44.2,0.2,0
Reds,Angels,W,0.037037037,54,-4.7,0.004
Rockies,Mariners,L,0.067901235,81.7,-0.6,-0.016
Giants,Athletics,W,-0.111111111,-77.9,1.3,-0.012
Braves,Tigers,W,0.111801242,125.1,1.3,0.012
Mets,Marlins,L,-0.046353807,-29.4,-1.5,0.017
Phillies,Rays,L,-0.018518519,128.1,1.5,0.003
Nationals,Astros,L,-0.067901235,6.9,3.2,-0.009
Orioles,BlueJays,D,0,-4.8,0.2,-0.008
Indians,Rangers,W,0.002568821,-44.2,-0.2,0
Royals,Reds,W,-0.080246914,5,0.9,-0.005
Dodgers,WhiteSox,W,-0.080246914,-11.5,-0.4,0.008
Cubs,Padres,L,-0.216049383,-134.7,3.9,-0.021
Athletics,Rockies,W,0.037037037,58.5,2.3,0.029
Mariners,Angels,D,-0.074074074,-64,-4.3,0.001
Yankees,RedSox,L,0.055555556,164.6,-1.2,0.03
Tigers,Astros,L,-0.015642972,-15.5,2.1,-0.02
Pirates,Orioles,W,0.067901235,46.3,0.4,-0.001
Cardinals,Braves,D,-0.108503949,-129.7,-1.2,0
Nationals,Marlins,L,-0.095736523,-46.8,-0.4,0.007
Cubs,Royals,W,-0.135802469,-140.6,-0.9,0.005
WhiteSox,Brewers,W,-0.030864198,-30.2,4.5,-0.013
Rockies,Dodgers,W,0.098765432,25.6,0.1,-0.026
Angels,Indians,L,0.127060808,55.3,3.8,0.002
Giants,Mariners,W,-0.00617284,62.3,3,0.001
BlueJays,Yankees,W,-0.030864198,-60.2,-2.3,0.004
RedSox,Twins,W,-0.209876543,-145.9,4.4,-0.031
Braves,Nationals,W,0.164059505,102.7,0.2,0.001
Orioles,RedSox,W,0.024691358,99.6,-3.3,0.026
Astros,Braves,L,-0.09615827,-109.6,-3.4,0.008
Mets,Marlins,L,-0.046353807,-29.4,-1.5,0.017
Yankees,Pirates,L,-0.037037037,18.7,1.7,0.005
Cardinals,Tigers,W,0.003297293,-4.6,0.1,0.012
Rays,Phillies,L,0.018518519,-128.1,-1.5,-0.003
BlueJays,Astros,W,-0.030864198,-14.2,1.5,-0.001
Indians,Reds,W,-0.164097845,-109.3,0.9,-0.006
Royals,Dodgers,L,0.061728395,66.9,1.2,-0.012
Mariners,Athletics,D,-0.104938272,-140.2,-1.7,-0.013
Angels,Rockies,D,0.00617284,-17.7,4.9,0.015
Twins,Orioles,W,0.185185185,46.3,-1.1,0.005
Brewers,Rangers,L,0.135802469,44.9,-5.5,0.018
Giants,Padres,L,-0.117283951,-54.8,7.3,-0.023
RedSox,Rays,W,-0.154320988,-130,6.1,-0.039
Tigers,Cardinals,L,-0.003297293,4.6,-0.1,-0.012
Marlins,Braves,W,-0.068322981,-55.9,0.2,-0.008
Twins,RedSox,L,0.209876543,145.9,-4.4,0.031
Pirates,Phillies,W,-0.043209877,-112.2,1.7,-0.017
Astros,BlueJays,W,0.030864198,14.2,-1.5,0.001
Cubs,WhiteSox,W,-0.154320988,-85.2,-0.1,0.001
